Date,time,Thermo1,Thermo2,Thermo3,Thermo4
2024-04-13,08:48:24,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:25,probe nc,probe nc,probe nc,27.75
2024-04-13,08:48:26,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:27,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:28,probe nc,probe nc,probe nc,27.75
2024-04-13,08:48:29,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:30,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:31,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:32,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:33,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:34,probe nc,probe nc,probe nc,27.0
2024-04-13,08:48:35,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:36,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:37,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:38,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:39,probe nc,probe nc,probe nc,27.0
2024-04-13,08:48:40,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:41,probe nc,probe nc,probe nc,27.0
2024-04-13,08:48:42,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:43,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:44,probe nc,probe nc,probe nc,26.50
2024-04-13,08:48:45,probe nc,probe nc,probe nc,26.50
2024-04-13,08:48:46,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:47,probe nc,probe nc,probe nc,26.50
2024-04-13,08:48:48,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:49,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:50,probe nc,probe nc,probe nc,25.50
2024-04-13,08:48:51,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:52,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:53,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:54,probe nc,probe nc,probe nc,26.0
2024-04-13,08:48:55,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:56,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:57,probe nc,probe nc,probe nc,26.0
2024-04-13,08:48:58,probe nc,probe nc,probe nc,25.75
2024-04-13,08:48:59,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:00,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:01,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:02,probe nc,probe nc,probe nc,25.75
2024-04-13,08:49:03,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:04,probe nc,probe nc,probe nc,25.75
2024-04-13,08:49:05,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:06,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:07,probe nc,probe nc,probe nc,25.75
2024-04-13,08:49:08,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:09,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:10,probe nc,probe nc,probe nc,25.75
2024-04-13,08:49:11,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:12,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:13,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:14,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:15,probe nc,probe nc,probe nc,26.25
2024-04-13,08:49:16,probe nc,probe nc,probe nc,25.75
2024-04-13,08:49:17,probe nc,probe nc,probe nc,26.25
2024-04-13,08:49:18,probe nc,probe nc,probe nc,25.75
2024-04-13,08:49:19,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:21,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:22,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:23,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:24,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:25,probe nc,probe nc,probe nc,25.0
2024-04-13,08:49:26,probe nc,probe nc,probe nc,25.25
2024-04-13,08:49:27,probe nc,probe nc,probe nc,28.25
2024-04-13,08:49:28,probe nc,probe nc,probe nc,30.0
2024-04-13,08:49:29,probe nc,probe nc,probe nc,31.0
2024-04-13,08:49:30,probe nc,probe nc,probe nc,30.50
2024-04-13,08:49:31,probe nc,probe nc,probe nc,31.75
2024-04-13,08:49:32,probe nc,probe nc,probe nc,31.75
2024-04-13,08:49:33,probe nc,probe nc,probe nc,32.25
2024-04-13,08:49:34,probe nc,probe nc,probe nc,32.50
2024-04-13,08:49:35,probe nc,probe nc,probe nc,33.0
2024-04-13,08:49:36,probe nc,probe nc,probe nc,32.75
2024-04-13,08:49:37,probe nc,probe nc,probe nc,33.0
2024-04-13,08:49:38,probe nc,probe nc,probe nc,32.50
2024-04-13,08:49:39,probe nc,probe nc,probe nc,32.50
2024-04-13,08:49:40,probe nc,probe nc,probe nc,31.75
2024-04-13,08:49:41,probe nc,probe nc,probe nc,31.25
2024-04-13,08:49:42,probe nc,probe nc,probe nc,29.75
2024-04-13,08:49:43,probe nc,probe nc,probe nc,30.0
2024-04-13,08:49:44,probe nc,probe nc,probe nc,29.75
2024-04-13,08:49:45,probe nc,probe nc,probe nc,29.25
2024-04-13,08:49:46,probe nc,probe nc,probe nc,29.0
2024-04-13,08:49:47,probe nc,probe nc,probe nc,28.75
2024-04-13,08:49:48,probe nc,probe nc,probe nc,28.25
2024-04-13,08:49:49,probe nc,probe nc,probe nc,28.25
2024-04-13,08:49:50,probe nc,probe nc,probe nc,27.0
2024-04-13,08:49:51,probe nc,probe nc,probe nc,27.50
2024-04-13,08:49:52,probe nc,probe nc,probe nc,27.50
2024-04-13,08:49:53,probe nc,probe nc,probe nc,27.50
2024-04-13,08:49:54,probe nc,probe nc,probe nc,27.0
2024-04-13,08:49:55,probe nc,probe nc,probe nc,26.75
2024-04-13,08:49:56,probe nc,probe nc,probe nc,27.0
2024-04-13,08:49:57,probe nc,probe nc,probe nc,27.25
2024-04-13,08:49:58,probe nc,probe nc,probe nc,27.0
2024-04-13,08:49:59,probe nc,probe nc,probe nc,27.0
2024-04-13,08:50:00,probe nc,probe nc,probe nc,27.0
2024-04-13,08:50:01,probe nc,probe nc,probe nc,27.0
2024-04-13,08:50:02,probe nc,probe nc,probe nc,26.75
2024-04-13,08:50:03,probe nc,probe nc,probe nc,26.75
2024-04-13,08:50:04,probe nc,probe nc,probe nc,26.25
